Order_ID,Date,Month,Year,Category_Type,Category,Category Image,Item_Name,Quantity,Unit_Price_$,Total_Amount_$,Food_Cost_$,Labour_Cost_$,Profit_$,Delivery_Partner,Payment_Mode
O00001,24-11-2025,November,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Corn Supreme,1,13.75,13.75,4.5,2.45,6.8,Zomato,Card
O00002,22-02-2025,February,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mixed Fruit Juice,3,6.23,18.69,5.77,3.49,9.43,Swiggy,Cash
O00003,22-04-2025,April,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Mushroom Magic,2,17.08,34.16,10.54,5.88,17.74,In-Store,Card
O00004,29-10-2025,October,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Veg Cheese Burger,4,6.01,24.04,7.87,3.14,13.03,In-Store,UPI
O00005,21-03-2025,March,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Triple Cheese Club,1,14.32,14.32,5.42,2,6.9,Swiggy,Online
O00006,03-07-2025,July,2025,Appetizer,French Fries,https://i.ibb.co/23d8CKt3/fries.png,Cheese Fries,3,13.79,41.37,15.24,7.39,18.74,Swiggy,Online
O00007,05-03-2025,March,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Paneer Burger,4,10.11,40.44,14.96,7.52,17.96,UberEats,Card
O00008,05-02-2025,February,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Paneer Tikka,2,14.5,29,12.83,5.7,10.47,Swiggy,Card
O00009,14-07-2025,July,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Veg Loaded Mac,1,8.44,8.44,2.82,1.05,4.57,Zomato,UPI
O00010,18-04-2025,April,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,4,7.05,28.2,8.61,5.38,14.21,Zomato,Card
O00011,25-08-2025,August,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Cheese Mac,2,11.3,22.6,8.22,2.73,11.65,UberEats,Cash
O00012,17-01-2025,January,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Veg Loaded Mac,2,6.25,12.5,5.2,2.42,4.88,Swiggy,Card
O00013,11-06-2025,June,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Veggie Paradise,4,15.98,63.92,22.31,10.04,31.57,In-Store,Card
O00014,13-03-2025,March,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Corn & Mayo Club,1,19.61,19.61,7.03,2.49,10.09,In-Store,UPI
O00015,12-03-2025,March,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,4,5.78,23.12,9.04,2.95,11.13,Swiggy,Cash
O00016,18-11-2025,November,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Margherita,1,11.65,11.65,5.22,2.06,4.37,In-Store,Online
O00017,28-08-2025,August,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,3,4.03,12.09,3.99,2.07,6.03,Swiggy,UPI
O00018,24-06-2025,June,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Corn & Mayo Club,2,16.06,32.12,11.36,3.58,17.18,Zomato,Online
O00019,15-05-2025,May,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,2,7.12,14.24,4.48,1.95,7.81,UberEats,Card
O00020,11-07-2025,July,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Corn Supreme,4,16.66,66.64,26.37,12.58,27.69,In-Store,Cash
O00021,05-07-2025,July,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Aloo Tikki Burger,2,6.96,13.92,5.95,2.4,5.57,Zomato,Cash
O00022,06-09-2025,September,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Cheese Chilli,3,12.56,37.68,14.26,5.38,18.04,In-Store,Card
O00023,28-09-2025,September,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,3,4.54,13.62,5.92,2.01,5.69,Zomato,UPI
O00024,10-12-2025,December,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,1,7.48,7.48,2.52,1.05,3.91,In-Store,Cash
O00025,26-04-2025,April,2025,Main Menu,Club Veg,https://i.ibb.co/7tVrrcM1/clubveg.png,Triple Cheese Club,4,12.29,49.16,19.16,8.33,21.67,Zomato,Card
O00026,06-02-2025,February,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Mango Juice,2,7.12,14.24,5.62,2.66,5.96,Swiggy,Cash
O00027,06-02-2025,February,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Watermelon Juice,2,4.93,9.86,4.26,1.31,4.29,In-Store,Card
O00028,09-03-2025,March,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,2,5.78,11.56,3.66,1.42,6.48,In-Store,Online
O00029,18-02-2025,February,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Peppy Paneer,1,18.18,18.18,6.29,2.12,9.77,In-Store,Online
O00030,28-01-2025,January,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,1,6.42,6.42,2.04,0.86,3.52,In-Store,UPI
O00031,08-05-2025,May,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Classic Veg,4,13.23,52.92,20.31,7.43,25.18,Zomato,Online
O00032,23-05-2025,May,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Aloo Tikki Burger,4,8.03,32.12,10.85,4.81,16.46,In-Store,Cash
O00033,30-11-2025,November,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,1,5.42,5.42,1.84,1.07,2.51,Zomato,Card
O00034,06-09-2025,September,2025,Appetizer,Burger,https://i.ibb.co/KjvbDYc5/burger.png,Spicy Bean Burger,4,6.26,25.04,10.92,3.1,11.02,Swiggy,Card
O00035,02-01-2025,January,2025,Appetizer,Macaroni,https://i.ibb.co/zVLCV731/macaroni.png,Spicy Mac,4,9.92,39.68,15.19,6.32,18.17,UberEats,Online
O00036,12-10-2025,October,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,1,5.85,5.85,2.39,0.8,2.66,Zomato,UPI
O00037,30-01-2025,January,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Watermelon Juice,3,7.17,21.51,9.09,3.87,8.55,Swiggy,Cash
O00038,02-09-2025,September,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,4,6.54,26.16,8.01,4.16,13.99,Swiggy,Card
O00039,01-11-2025,November,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Classic Veg,3,10.17,30.51,12.86,4.11,13.54,Swiggy,Card
O00040,01-11-2025,November,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Veg Overload,4,19.41,77.64,27.8,15.04,34.8,UberEats,UPI
O00041,09-12-2025,December,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,1,5.71,5.71,1.89,0.88,2.94,UberEats,Online
O00042,10-12-2025,December,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Green Tea,4,5.14,20.56,8.69,3.2,8.67,UberEats,Cash
O00043,23-08-2025,August,2025,Beverage,Juice,https://i.ibb.co/bM9d4qvH/juice.png,Orange Juice,4,5.21,20.84,9.27,3.25,8.32,Zomato,UPI
O00044,28-06-2025,June,2025,Main Menu,Sandwich,https://i.ibb.co/fzhvYTxp/sandwich.png,Paneer Tikka,1,11.89,11.89,4.19,2.05,5.65,UberEats,Card
O00045,06-10-2025,October,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Espresso,4,8.44,33.76,14.62,6.25,12.89,UberEats,Cash
O00046,16-05-2025,May,2025,Main Menu,Veg Mania,https://i.ibb.co/svfg0hg2/vegmania.png,Mushroom Magic,4,17.85,71.4,27.91,7.21,36.28,UberEats,UPI
O00047,18-04-2025,April,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,1,7.32,7.32,2.51,0.96,3.85,UberEats,Online
O00048,27-01-2025,January,2025,Main Menu,Pizza,https://i.ibb.co/vx6T9K8X/pizza-1.png,Peppy Paneer,1,14.48,14.48,4.83,2.48,7.17,Swiggy,Cash
O00049,08-03-2025,March,2025,Beverage,Hot Drinks,https://i.ibb.co/mFCQYCrw/hot.png,Cappuccino,4,5.63,22.52,7.99,3.93,10.6,In-Store,Online
